1;Raków Czêstochowa;32680000
2;Lech Poznañ;30630000
3;Legia Warszawa;19450000
4;Pogoñ Szczecin;18750000
5;Cracovia Kraków;15000000
6;Zag³êbie Lubin;12500000
7;Jagiellonia Bia³ystok;11730000
8;Górnik Zabrze;10950000
9;Lechia Gdañsk;10880000
10;Widzew £ódŸ;10750000
11;Piast Gliwice;10680000
12;Wis³a P³ock;10500000
13;Œl¹sk Wroc³aw;9993000
14;Warta Poznañ;9880000
15;Radomiak Radom;8850000
16;Stal Mielec;7730000
17;MiedŸ Legnica;7230000
18;Korona Kielce;7080000
